Date,SP
12/1/1927,0.8511
1/1/1928,0.8455
2/1/1928,0.8306
3/1/1928,0.9278
4/1/1928,0.9504
5/1/1928,0.9625
6/1/1928,0.9211
7/1/1928,0.935
8/1/1928,1.0043
9/1/1928,1.0173
10/1/1928,1.0433
11/1/1928,1.1684
12/1/1928,1.1718
1/1/1929,1.2423
2/1/1929,1.235
3/1/1929,1.2321
4/1/1929,1.2519
5/1/1929,1.1984
6/1/1929,1.3229
7/1/1929,1.3938
8/1/1929,1.5304
9/1/1929,1.4556
10/1/1929,1.1655
11/1/1929,1.0097
12/1/1929,1.0352
1/1/1930,1.1015
2/1/1930,1.1252
3/1/1930,1.1672
4/1/1930,1.2035
5/1/1930,1.1837
6/1/1930,0.9889
7/1/1930,1.0251
8/1/1930,1.0329
9/1/1930,0.8985
10/1/1930,0.8188
11/1/1930,0.8009
12/1/1930,0.7414
1/1/1931,0.7123
2/1/1931,0.7937
3/1/1931,0.7388
4/1/1931,0.668
5/1/1931,0.5764
6/1/1931,0.6565
7/1/1931,0.6078
8/1/1931,0.6135
9/1/1931,0.4298
10/1/1931,0.4661
11/1/1931,0.4205
12/1/1931,0.3595
1/1/1932,0.3797
2/1/1932,0.3989
3/1/1932,0.3518
4/1/1932,0.2806
5/1/1932,0.2151
6/1/1932,0.2132
7/1/1932,0.2936
8/1/1932,0.4038
9/1/1932,0.3888
10/1/1932,0.3349
11/1/1932,0.3152
12/1/1932,0.3316
1/1/1933,0.2622
2/1/1933,0.2138
3/1/1933,0.221
4/1/1933,0.3143
5/1/1933,0.3642
6/1/1933,0.4122
7/1/1933,0.3759
8/1/1933,0.419
9/1/1933,0.3714
10/1/1933,0.3385
11/1/1933,0.3733
12/1/1933,0.3816
1/1/1934,0.3191
2/1/1934,0.3074
3/1/1934,0.3071
4/1/1934,0.2989
5/1/1934,0.2746
6/1/1934,0.2803
7/1/1934,0.248
8/1/1934,0.2614
9/1/1934,0.26
10/1/1934,0.2517
11/1/1934,0.2726
12/1/1934,0.2714
1/1/1935,0.26
2/1/1935,0.2497
3/1/1935,0.242
4/1/1935,0.2651
5/1/1935,0.2737
6/1/1935,0.2923
7/1/1935,0.3166
8/1/1935,0.3234
9/1/1935,0.3311
10/1/1935,0.356
11/1/1935,0.37
12/1/1935,0.3837
1/1/1936,0.4089
2/1/1936,0.4157
3/1/1936,0.4263
4/1/1936,0.3934
5/1/1936,0.4114
6/1/1936,0.424
7/1/1936,0.4529
8/1/1936,0.4569
9/1/1936,0.4574
10/1/1936,0.4917
11/1/1936,0.4937
12/1/1936,0.4909
1/1/1937,0.5094
2/1/1937,0.5169
3/1/1937,0.512
4/1/1937,0.4694
5/1/1937,0.4646
6/1/1937,0.44
7/1/1937,0.4851
8/1/1937,0.4583
9/1/1937,0.3931
10/1/1937,0.3531
11/1/1937,0.3174
12/1/1937,0.3014
1/1/1938,0.3054
2/1/1938,0.324
3/1/1938,0.2429
4/1/1938,0.2771
5/1/1938,0.2649
6/1/1938,0.3303
7/1/1938,0.3543
8/1/1938,0.3446
9/1/1938,0.3497
10/1/1938,0.3763
11/1/1938,0.3637
12/1/1938,0.3774
1/1/1939,0.3546
2/1/1939,0.3661
3/1/1939,0.3165
4/1/1939,0.3148
5/1/1939,0.3344
6/1/1939,0.3131
7/1/1939,0.3471
8/1/1939,0.3223
9/1/1939,0.3753
10/1/1939,0.3698
11/1/1939,0.3517
12/1/1939,0.36
1/1/1940,0.3538
2/1/1940,0.3561
3/1/1940,0.3597
4/1/1940,0.3579
5/1/1940,0.2722
6/1/1940,0.293
7/1/1940,0.3021
8/1/1940,0.31
9/1/1940,0.313
10/1/1940,0.3253
11/1/1940,0.3115
12/1/1940,0.3106
1/1/1941,0.2957
2/1/1941,0.2913
3/1/1941,0.2924
4/1/1941,0.2733
5/1/1941,0.2745
6/1/1941,0.2892
7/1/1941,0.305
8/1/1941,0.3024
9/1/1941,0.2995
10/1/1941,0.2789
11/1/1941,0.2672
12/1/1941,0.2551
1/1/1942,0.2587
2/1/1942,0.2522
3/1/1942,0.2352
4/1/1942,0.2249
5/1/1942,0.2393
6/1/1942,0.2437
7/1/1942,0.2513
8/1/1942,0.2531
9/1/1942,0.2598
10/1/1942,0.2766
11/1/1942,0.2728
12/1/1942,0.2868
1/1/1943,0.3074
2/1/1943,0.323
3/1/1943,0.34
4/1/1943,0.3403
5/1/1943,0.3555
6/1/1943,0.3626
7/1/1943,0.3429
8/1/1943,0.3464
9/1/1943,0.3547
10/1/1943,0.35
11/1/1943,0.3235
12/1/1943,0.3426
1/1/1944,0.3479
2/1/1944,0.347
3/1/1944,0.3529
4/1/1944,0.3485
5/1/1944,0.3626
6/1/1944,0.3811
7/1/1944,0.3732
8/1/1944,0.3764
9/1/1944,0.3752
10/1/1944,0.3752
11/1/1944,0.3767
12/1/1944,0.3899
1/1/1945,0.3849
2/1/1945,0.4086
3/1/1945,0.3897
4/1/1945,0.424
5/1/1945,0.4289
6/1/1945,0.4274
7/1/1945,0.4189
8/1/1945,0.4431
9/1/1945,0.4617
10/1/1945,0.4757
11/1/1945,0.4911
12/1/1945,0.496
1/1/1946,0.5306
2/1/1946,0.4937
3/1/1946,0.5166
4/1/1946,0.536
5/1/1946,0.548
6/1/1946,0.5266
7/1/1946,0.5131
8/1/1946,0.4757
9/1/1946,0.4274
10/1/1946,0.424
11/1/1946,0.4191
12/1/1946,0.4371
1/1/1947,0.4474
2/1/1947,0.4409
3/1/1947,0.4334
4/1/1947,0.4166
5/1/1947,0.4129
6/1/1947,0.4346
7/1/1947,0.4503
8/1/1947,0.4377
9/1/1947,0.4317
10/1/1947,0.4409
11/1/1947,0.4283
12/1/1947,0.4371
1/1/1948,0.4197
2/1/1948,0.4
3/1/1948,0.4309
4/1/1948,0.4423
5/1/1948,0.4769
6/1/1948,0.4783
7/1/1948,0.4529
8/1/1948,0.4563
9/1/1948,0.4426
10/1/1948,0.4726
11/1/1948,0.4214
12/1/1948,0.4343
1/1/1949,0.4774
2/1/1949,0.4586
3/1/1949,0.4724
4/1/1949,0.4624
5/1/1949,0.4451
6/1/1949,0.4442
7/1/1949,0.4718
8/1/1949,0.4774
9/1/1949,0.4887
10/1/1949,0.5031
11/1/1949,0.5038
12/1/1949,0.5257
1/1/1950,0.4871
2/1/1950,0.492
3/1/1950,0.494
4/1/1950,0.5163
5/1/1950,0.5366
6/1/1950,0.5054
7/1/1950,0.5097
8/1/1950,0.5263
9/1/1950,0.5557
10/1/1950,0.558
11/1/1950,0.5574
12/1/1950,0.5831
1/1/1951,0.6189
2/1/1951,0.6229
3/1/1951,0.6114
4/1/1951,0.6409
5/1/1951,0.6149
6/1/1951,0.5989
7/1/1951,0.64
8/1/1951,0.6651
9/1/1951,0.6646
10/1/1951,0.6554
11/1/1951,0.6537
12/1/1951,0.6791
1/1/1952,0.6959
2/1/1952,0.6705
3/1/1952,0.7025
4/1/1952,0.6722
5/1/1952,0.6878
6/1/1952,0.7195
7/1/1952,0.7322
8/1/1952,0.7215
9/1/1952,0.7074
10/1/1952,0.7068
11/1/1952,0.7397
12/1/1952,0.7659
1/1/1953,0.7537
2/1/1953,0.74
3/1/1953,0.7226
4/1/1953,0.7034
5/1/1953,0.7011
6/1/1953,0.6897
7/1/1953,0.7071
8/1/1953,0.6663
9/1/1953,0.6671
10/1/1953,0.7011
11/1/1953,0.7074
12/1/1953,0.7089
1/1/1954,0.7386
2/1/1954,0.7406
3/1/1954,0.763
4/1/1954,0.8003
5/1/1954,0.8267
6/1/1954,0.8272
7/1/1954,0.8745
8/1/1954,0.8448
9/1/1954,0.915
10/1/1954,0.8972
11/1/1954,0.9697
12/1/1954,1.019
1/1/1955,1.0374
2/1/1955,1.0411
3/1/1955,1.036
4/1/1955,1.075
5/1/1955,1.0736
6/1/1955,1.162
7/1/1955,1.2325
8/1/1955,1.2229
9/1/1955,1.2368
10/1/1955,1.1991
11/1/1955,1.2889
12/1/1955,1.288
1/1/1956,1.241
2/1/1956,1.2841
3/1/1956,1.373
4/1/1956,1.3702
5/1/1956,1.2801
6/1/1956,1.3302
7/1/1956,1.3988
8/1/1956,1.3455
9/1/1956,1.2843
10/1/1956,1.2909
11/1/1956,1.2767
12/1/1956,1.3217
1/1/1957,1.2777
2/1/1957,1.236
3/1/1957,1.2603
4/1/1957,1.3069
5/1/1957,1.3551
6/1/1957,1.3534
7/1/1957,1.3689
8/1/1957,1.292
9/1/1957,1.212
10/1/1957,1.1731
11/1/1957,1.192
12/1/1957,1.1426
1/1/1958,1.181
2/1/1958,1.1566
3/1/1958,1.1923
4/1/1958,1.2302
5/1/1958,1.2487
6/1/1958,1.2812
7/1/1958,1.3364
8/1/1958,1.3523
9/1/1958,1.4177
10/1/1958,1.4537
11/1/1958,1.4863
12/1/1958,1.5636
1/1/1959,1.5704
2/1/1959,1.5692
3/1/1959,1.5701
4/1/1959,1.631
5/1/1959,1.6619
6/1/1959,1.6559
7/1/1959,1.7137
8/1/1959,1.6879
9/1/1959,1.6109
10/1/1959,1.629
11/1/1959,1.6505
12/1/1959,1.6961
1/1/1960,1.5749
2/1/1960,1.5894
3/1/1960,1.5673
4/1/1960,1.5398
5/1/1960,1.5811
6/1/1960,1.612
7/1/1960,1.5721
8/1/1960,1.6131
9/1/1960,1.5157
10/1/1960,1.512
11/1/1960,1.5729
12/1/1960,1.6457
1/1/1961,1.7496
2/1/1961,1.7967
3/1/1961,1.8425
4/1/1961,1.8496
5/1/1961,1.885
6/1/1961,1.8306
7/1/1961,1.8907
8/1/1961,1.9278
9/1/1961,1.8898
10/1/1961,1.9434
11/1/1961,2.0198
12/1/1961,2.0263
1/1/1962,1.9496
2/1/1962,1.9813
3/1/1962,1.9697
4/1/1962,1.8476
5/1/1962,1.6888
6/1/1962,1.5506
7/1/1962,1.6491
8/1/1962,1.6743
9/1/1962,1.5936
10/1/1962,1.6007
11/1/1962,1.7632
12/1/1962,1.787
1/1/1963,1.8748
2/1/1963,1.8207
3/1/1963,1.8853
4/1/1963,1.9768
5/1/1963,2.0051
6/1/1963,1.9646
7/1/1963,1.9578
8/1/1963,2.0532
9/1/1963,2.0306
10/1/1963,2.096
11/1/1963,2.0739
12/1/1963,2.1246
1/1/1964,2.1818
2/1/1964,2.2033
3/1/1964,2.2368
