Date,realSil,nomSil
1/1/1915,13.06,0.51
2/1/1915,13.19,0.51
3/1/1915,13.33,0.51
4/1/1915,13.19,0.51
5/1/1915,13.06,0.51
6/1/1915,13.06,0.51
7/1/1915,13.06,0.51
8/1/1915,13.06,0.51
9/1/1915,13.06,0.51
10/1/1915,12.93,0.51
11/1/1915,12.81,0.51
12/1/1915,12.81,0.51
1/1/1916,16.66,0.67
2/1/1916,16.66,0.67
3/1/1916,16.51,0.67
4/1/1916,16.35,0.67
5/1/1916,16.2,0.67
6/1/1916,16.05,0.67
7/1/1916,16.05,0.67
8/1/1916,15.9,0.67
9/1/1916,15.61,0.67
10/1/1916,15.34,0.67
11/1/1916,15.07,0.67
12/1/1916,14.94,0.67
1/1/1917,18.57,0.84
2/1/1917,18.11,0.84
3/1/1917,18.11,0.84
4/1/1917,17.25,0.84
5/1/1917,16.98,0.84
6/1/1917,16.71,0.84
7/1/1917,16.98,0.84
8/1/1917,16.71,0.84
9/1/1917,16.34,0.84
10/1/1917,16.1,0.84
11/1/1917,16.1,0.84
12/1/1917,15.86,0.84
1/1/1918,18.11,0.98
2/1/1918,17.98,0.98
3/1/1918,18.11,0.98
4/1/1918,17.85,0.98
5/1/1918,17.48,0.98
6/1/1918,17.25,0.98
7/1/1918,16.79,0.98
8/1/1918,16.46,0.98
9/1/1918,16.15,0.98
10/1/1918,15.84,0.98
11/1/1918,15.55,0.98
12/1/1918,15.36,0.98
1/1/1919,17.72,1.13
2/1/1919,18.04,1.13
3/1/1919,17.82,1.13
4/1/1919,17.5,1.13
5/1/1919,17.3,1.13
6/1/1919,17.3,1.13
7/1/1919,16.8,1.13
8/1/1919,16.51,1.13
9/1/1919,16.42,1.13
10/1/1919,16.15,1.13
11/1/1919,15.8,1.13
12/1/1919,15.47,1.13
1/1/1920,13.81,1.03
2/1/1920,13.66,1.03
3/1/1920,13.52,1.03
4/1/1920,13.13,1.03
5/1/1920,12.93,1.03
6/1/1920,12.75,1.03
7/1/1920,12.81,1.03
8/1/1920,13.13,1.03
9/1/1920,13.32,1.03
10/1/1920,13.39,1.03
11/1/1920,13.46,1.03
12/1/1920,13.73,1.03
1/1/1921,8.58,0.63
2/1/1921,8.86,0.63
3/1/1921,8.91,0.63
4/1/1921,9,0.63
5/1/1921,9.21,0.63
6/1/1921,9.26,0.63
7/1/1921,9.21,0.63
8/1/1921,9.21,0.63
9/1/1921,9.31,0.63
10/1/1921,9.31,0.63
11/1/1921,9.37,0.63
12/1/1921,9.42,0.63
1/1/1922,10.41,0.68
2/1/1922,10.41,0.68
3/1/1922,10.53,0.68
4/1/1922,10.53,0.68
5/1/1922,10.53,0.68
6/1/1922,10.53,0.68
7/1/1922,10.47,0.68
8/1/1922,10.6,0.68
9/1/1922,10.6,0.68
10/1/1922,10.53,0.68
11/1/1922,10.47,0.68
12/1/1922,10.41,0.68
1/1/1923,10.01,0.65
2/1/1923,10.01,0.65
3/1/1923,10.01,0.65
4/1/1923,9.95,0.65
5/1/1923,9.95,0.65
6/1/1923,9.89,0.65
7/1/1923,9.78,0.65
8/1/1923,9.83,0.65
9/1/1923,9.78,0.65
10/1/1923,9.72,0.65
11/1/1923,9.72,0.65
12/1/1923,9.72,0.65
1/1/1924,10.02,0.67
2/1/1924,10.08,0.67
3/1/1924,10.14,0.67
4/1/1924,10.19,0.67
5/1/1924,10.19,0.67
6/1/1924,10.19,0.67
7/1/1924,10.14,0.67
8/1/1924,10.19,0.67
9/1/1924,10.14,0.67
10/1/1924,10.08,0.67
11/1/1924,10.08,0.67
12/1/1924,10.02,0.67
1/1/1925,10.32,0.69
2/1/1925,10.38,0.69
3/1/1925,10.32,0.69
4/1/1925,10.38,0.69
5/1/1925,10.32,0.69
6/1/1925,10.2,0.69
7/1/1925,10.08,0.69
8/1/1925,10.08,0.69
9/1/1925,10.08,0.69
10/1/1925,10.08,0.69
11/1/1925,9.92,0.69
12/1/1925,9.97,0.69
1/1/1926,8.96,0.62
2/1/1926,8.96,0.62
3/1/1926,9.01,0.62
4/1/1926,8.96,0.62
5/1/1926,9.01,0.62
6/1/1926,9.06,0.62
7/1/1926,9.16,0.62
8/1/1926,9.22,0.62
9/1/1926,9.16,0.62
10/1/1926,9.11,0.62
11/1/1926,9.06,0.62
12/1/1926,9.06,0.62
1/1/1927,8.43,0.57
2/1/1927,8.47,0.57
3/1/1927,8.52,0.57
4/1/1927,8.52,0.57
5/1/1927,8.47,0.57
6/1/1927,8.38,0.57
7/1/1927,8.52,0.57
8/1/1927,8.57,0.57
9/1/1927,8.52,0.57
10/1/1927,8.47,0.57
11/1/1927,8.52,0.57
12/1/1927,8.52,0.57
1/1/1928,8.67,0.58
2/1/1928,8.77,0.58
3/1/1928,8.77,0.58
4/1/1928,8.77,0.58
5/1/1928,8.72,0.58
6/1/1928,8.77,0.58
7/1/1928,8.77,0.58
8/1/1928,8.77,0.58
9/1/1928,8.67,0.58
10/1/1928,8.72,0.58
11/1/1928,8.72,0.58
12/1/1928,8.77,0.58
1/1/1929,8.02,0.53
2/1/1929,8.02,0.53
3/1/1929,8.06,0.53
4/1/1929,8.11,0.53
5/1/1929,8.06,0.53
