Date,silPrice
12/27/1979,27.3
12/28/1979,29.35
12/31/1979,34.45
1/2/1980,38.85
1/3/1980,37.1
1/4/1980,36.1
1/7/1980,35.8
1/8/1980,31.91
1/9/1980,33.6
1/10/1980,33.75
1/11/1980,38.75
1/14/1980,42.5
1/15/1980,46.3
1/16/1980,45.7
1/17/1980,48.7
1/18/1980,46.8
1/21/1980,44
1/22/1980,34
1/23/1980,37.5
1/24/1980,36.5
1/25/1980,33.5
1/28/1980,33.95
1/29/1980,36.4
1/30/1980,35.85
1/31/1980,34.6
2/1/1980,34.15
2/4/1980,33
2/5/1980,34.85
2/6/1980,37.75
2/7/1980,36.5
2/8/1980,37.1
2/11/1980,38.5
2/12/1980,38
2/13/1980,37
2/14/1980,36.2
2/15/1980,35.8
2/19/1980,31
2/20/1980,33.3
2/21/1980,34.56
2/22/1980,32
2/25/1980,33.9
2/26/1980,33.56
2/27/1980,33.7
2/28/1980,35.2
2/29/1980,35.3
3/3/1980,35.2
3/4/1980,36.15
3/5/1980,36.05
3/6/1980,33.1
3/7/1980,32.9
3/10/1980,29.75
3/11/1980,29.1
3/12/1980,29.3
3/13/1980,25.5
3/14/1980,21
3/17/1980,17.4
3/18/1980,17.8
3/19/1980,20.55
3/20/1980,22.35
3/21/1980,22.5
3/24/1980,21.25
3/25/1980,20.2
3/26/1980,15.8
3/27/1980,10.8
3/28/1980,12
3/31/1980,14.2
4/1/1980,14
4/2/1980,14.6
4/3/1980,14.65
4/7/1980,15.3
4/8/1980,16.47
4/9/1980,16
4/10/1980,15.5
4/11/1980,15.4
4/14/1980,14.55
4/15/1980,14.38
4/16/1980,14.2
4/17/1980,14.24
4/18/1980,14.12
4/21/1980,13.4
4/22/1980,13.63
4/23/1980,13.645
4/24/1980,14.675
4/25/1980,14.9
4/28/1980,13.65
4/29/1980,13.675
4/30/1980,12.5
5/1/1980,12.18
5/2/1980,13.65
5/5/1980,13.22
5/6/1980,12.9
5/7/1980,13.15
5/8/1980,12.945
5/9/1980,12.98
5/12/1980,12.55
5/13/1980,12.975
5/14/1980,13.03
5/15/1980,12.4
5/16/1980,12.52
5/19/1980,12
5/20/1980,11.7
5/21/1980,11.34
5/22/1980,11.6
5/23/1980,11.96
5/27/1980,13.5
5/28/1980,12.88
5/29/1980,13.1
5/30/1980,13.95
6/2/1980,14.65
6/3/1980,14.65
6/4/1980,15.55
6/5/1980,15.95
6/6/1980,16.8
6/9/1980,17.88
6/10/1980,15.45
6/11/1980,15.3
6/12/1980,15.78
6/13/1980,16.24
6/16/1980,15.5
6/17/1980,15.745
6/18/1980,15.305
